Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,date,Month,Year,DayOfWeek,IsWeekend,month_num,year,quarter,hour,day_of_week,is_weekend,amt_log,month_str
85,2019-01-01 01:02:53,571365235126,fraud_VonRueden Group,Grocery_Net,89.35,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,bce01a6ae8b8c6227cd4f1de751c017c,1325379773.0,44.630758,-87.12389399999999,0.0,46825.85207232303,2019-01-01 01:02:53,2019-01,2019.0,Tuesday,False,1,2019,1,1,1,0,4.503691017038237,Jan 2019
1045,2019-01-01 13:04:25,571365235126,"fraud_Swaniawski, Nitzsche and Welch",Health_Fitness,177.82,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,26e9b361f78724f145faedaaad9da0c3,1325423065.0,45.105736,-87.08646800000001,0.0,54202.0,2019-01-01 13:04:25,2019-01,2019.0,Tuesday,False,1,2019,1,13,1,0,5.186379713307172,Jan 2019
1456,2019-01-01 16:03:12,571365235126,fraud_Hills-Witting,Shopping_Net,3.89,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,9c7f4171fce7111db34eb60f56d74b9b,1325433792.0,45.447156,-87.01898800000001,0.0,54246.0,2019-01-01 16:03:12,2019-01,2019.0,Tuesday,False,1,2019,1,16,1,0,1.5871923034867808,Jan 2019
1635,2019-01-01 17:32:13,571365235126,"fraud_Cronin, Kshlerin and Weber",Health_Fitness,53.32,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,1f58f90aa5eb9c06f066da77aaea5821,1325439133.0,44.367747,-85.58629499999999,0.0,49618.0,2019-01-01 17:32:13,2019-01,2019.0,Tuesday,False,1,2019,1,17,1,0,3.9948924832504407,Jan 2019
2163,2019-01-01 21:50:57,571365235126,"fraud_Baumbach, Hodkiewicz and Walsh",Shopping_Pos,1.03,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,b380b0a10b77b658ed90c3bdc51278f9,1325454657.0,45.106034,-86.367238,0.0,46825.85207232303,2019-01-01 21:50:57,2019-01,2019.0,Tuesday,False,1,2019,1,21,1,0,0.708035793053696,Jan 2019
2501,2019-01-02 02:41:16,571365235126,"fraud_Connelly, Reichert and Fritsch",Gas_Transport,40.87,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,bee1f566f76e67dc69b386bbb702067f,1325472076.0,44.127338,-85.654905,0.0,49656.0,2019-01-02 02:41:16,2019-01,2019.0,Wednesday,False,1,2019,1,2,2,0,3.734569580031052,Jan 2019
3178,2019-01-02 18:00:54,571365235126,"fraud_Lowe, Dietrich and Erdman",Kids_Pets,5.03,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,f5c4fe8476b4092d3e9725d063ce1b62,1325527254.0,45.019896,-86.14321,0.0,46825.85207232303,2019-01-02 18:00:54,2019-01,2019.0,Wednesday,False,1,2019,1,18,2,0,1.7967470107390942,Jan 2019
3752,2019-01-03 05:25:23,571365235126,fraud_Huels-Hahn,Gas_Transport,36.45,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,2052cfc507e2ddebb3743e165fca0137,1325568323.0,43.652692,-85.721312,0.0,49349.0,2019-01-03 05:25:23,2019-01,2019.0,Thursday,False,1,2019,1,5,3,0,3.6230067099632284,Jan 2019
4027,2019-01-03 12:26:29,571365235126,fraud_Price Inc,Shopping_Net,4.42,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,bc262b605b3fe2f3910bffd632386e14,1325593589.0,43.959204,-86.423816,0.0,49431.0,2019-01-03 12:26:29,2019-01,2019.0,Thursday,False,1,2019,1,12,3,0,1.6900958154515549,Jan 2019
4391,2019-01-03 18:14:37,571365235126,fraud_Bode-Schuster,Kids_Pets,94.62,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628.0,44.5995,-86.2141,372.0,"Exhibitions officer, museum/gallery",1995-07-12,22fecef3ca5384e03fe044c2af8424ac,1325614477.0,44.371685,-86.823492,0.0,46825.85207232303,2019-01-03 18:14:37,2019-01,2019.0,Thursday,False,1,2019,1,18,3,0,4.560382003197957,Jan 2019
